种子ID,作物ID,作物名称,分类,成熟时间,预计收入,每小时收益,数量,已有数量,是否制标
30001,300013,青铜星辰花,变异,12,369,30.75,5,7,是
30001,300014,青铜星辰花,变异,12,369,30.75,5,3,是
30001,300015,青铜星辰花,变异,12,369,30.75,5,14,否
30001,300016,青铜星辰花,变异,12,369,30.75,5,8,是
30001,300017,青铜星辰花,变异,12,369,30.75,5,11,是
30001,300018,青铜星辰花,变异,12,369,30.75,5,7,是
30001,300019,青铜星辰花,变异,12,369,30.75,5,10,是
30002,300020,白银星辰花,变异,24,849,35.38,2,26,是
30002,300021,白银星辰花,变异,24,849,35.38,2,8,是
30002,300022,白银星辰花,变异,24,849,35.38,2,16,否
30002,300023,白银星辰花,变异,24,849,35.38,2,5,是
30002,300024,白银星辰花,变异,24,849,35.38,2,17,是
30002,300025,白银星辰花,变异,24,849,35.38,2,2,是
30002,300026,白银星辰花,变异,24,849,35.38,2,2,是
30002,300027,白银星辰花,变异,24,849,35.38,2,5,否
30002,300028,白银星辰花,变异,24,849,35.38,2,5,否
30002,300029,白银星辰花,变异,24,849,35.38,2,9,是
30003,300030,黄金星辰花,变异,48,1997,41.6,1,1,是
30003,300031,黄金星辰花,变异,48,1997,41.6,1,19,否
30003,300032,黄金星辰花,变异,48,1997,41.6,1,10,是
30003,300033,黄金星辰花,变异,48,1997,41.6,1,14,否
30003,300034,黄金星辰花,变异,48,1997,41.6,1,6,否
30003,300035,黄金星辰花,变异,48,1997,41.6,1,6,否
30003,300036,黄金星辰花,变异,48,1997,41.6,1,13,否
